Date,High,Low,Open,Close,Volume,Adj Close
11-10-2019,174.1000061,164.1999969,174,170.1000061,802769,167.6415405
14-10-2019,175.8999939,168.1999969,171.8999939,170.8500061,930371,168.3807068
15-10-2019,173,164.9499969,165,170.8500061,1160063,168.3807068
16-10-2019,182.8999939,172.0500031,172.0500031,179.1499939,1357150,176.56073
17-10-2019,183.3000031,177.1999969,179.5500031,178.8500061,685292,176.2650757
18-10-2019,192,177.1000061,178.25,187.3500061,2042909,184.6422272
22-10-2019,195.8000031,185,188.8500061,190.6000061,1670077,187.8452454
23-10-2019,204.6999969,185.8500061,191,195.8500061,2906480,193.0193634
24-10-2019,199.0500031,192.0500031,197,196.3999939,927651,193.5614166
25-10-2019,196.75,191.25,196,193.1000061,607707,190.3091278
29-10-2019,205.3999939,193.3500061,197,201.1000061,1281280,198.1934967
30-10-2019,210.75,199.0500031,202,205.1499939,2105447,202.1849518
31-10-2019,212,205.1999969,206.1999969,209.3999939,1246887,206.3735199
01-11-2019,211,205.5,209.4499969,206.3500061,695856,203.36763
04-11-2019,207.9499969,195.1000061,207.3999939,196.6999969,817108,193.8570709
05-11-2019,197.5,191.25,197.1999969,194.1999969,627397,191.393219
06-11-2019,204,192.6000061,193.8999939,201.6000061,1393237,198.686264
07-11-2019,202.6999969,196.6499939,202.4499969,198.6999969,551575,195.8281708
08-11-2019,202,194.1000061,197,195.25,634732,192.4280396
11-11-2019,201.8500061,193.1000061,194,199.6499939,645610,196.7644501
13-11-2019,200.3000031,191.1000061,198.0500031,191.8000031,664098,189.0279083
14-11-2019,196,187.5,192,189.8500061,615621,187.1060944
15-11-2019,194,188.8999939,191,189.5500031,504936,186.8104248
18-11-2019,194.75,186,190.8999939,192.5500031,1185615,189.7670746
19-11-2019,209,195.1499939,200,197.3999939,5611570,194.5469666
20-11-2019,199.3999939,193,196.3999939,197.6000061,1206077,194.7440796
21-11-2019,201,193.25,198.1999969,194.4499969,756916,191.6396027
22-11-2019,199.5,194.25,195.3500061,197.25,810161,194.3991394
25-11-2019,204.8000031,196.5,198.25,202.5500031,1856261,199.6225281
26-11-2019,209,198.6499939,203.25,207.3500061,2549005,204.3531647
27-11-2019,219.6000061,205.0500031,205.0500031,218.25,4581249,215.0956116
28-11-2019,222.8000031,214.8000031,216.8000031,219.25,2580626,216.0811615
29-11-2019,221,212.8000031,218.6999969,216.3000031,1041880,213.1738129
02-12-2019,224.8000031,212.5,215.8000031,220.3000031,1621572,217.1159973
03-12-2019,223,217.5500031,220.1499939,220.3500061,1098113,217.1652679
04-12-2019,222.1999969,214.1499939,218.5,215.5500031,3019319,212.4346466
05-12-2019,221.3999939,213.6999969,217.1000061,215,1825010,211.8925934
06-12-2019,216.75,209.25,215.4499969,213.8999939,956418,210.8084869
09-12-2019,215.1999969,211.4499969,213,213.1000061,687292,210.02005
10-12-2019,213.8500061,209,213,210.3999939,896641,207.3590698
11-12-2019,210.6000061,206.25,210,208.8999939,801787,205.8807526
12-12-2019,212.9499969,209,209.5,210.75,626993,207.7040253
13-12-2019,215.5,210.3000031,211.3999939,212.3999939,930181,209.3301544
16-12-2019,221,210.3999939,212,218.6000061,1119123,215.440567
17-12-2019,222,213.1499939,219.3500061,217.5500031,926722,214.4057465
18-12-2019,216.25,202.3500061,214,208.5,1099589,205.4865417
19-12-2019,213,208,209.8999939,209.1000061,905226,206.0778656
20-12-2019,213.25,208.6999969,210,209.8999939,861427,206.8663025
23-12-2019,216.8000031,211.5500031,213.0500031,213.1000061,1390187,210.02005
24-12-2019,214.25,205.1000061,214,207.1999969,1050127,204.2053223
26-12-2019,207.8500061,204.0500031,206.8999939,204.5500031,405784,201.5936279
27-12-2019,207.6999969,203,205,203.75,600553,200.805191
30-12-2019,205.8000031,197.5,204.5,197.8000031,1099467,194.9411926
31-12-2019,201,197,198.1499939,198.0500031,987017,195.1875763
01-01-2020,199.1999969,194.3500061,199,194.8000031,530544,191.9845581
02-01-2020,203,195.1999969,195.1999969,201.1999969,1166717,198.292038
03-01-2020,205,193,201,193.8999939,1281472,191.0975494
06-01-2020,193.5,182.1000061,193,185.9499969,1274356,183.2624512
07-01-2020,191.25,185.25,186.8999939,188.75,652018,186.0219879
08-01-2020,187.75,182.25,185,183.1000061,795718,180.4536591
09-01-2020,200.3000031,184.75,186,197.3000031,2952628,194.44841
10-01-2020,206.6000061,198.4499969,204,202.75,2932578,199.8196411
13-01-2020,208,201,204.6999969,206.75,1739032,203.7618256
14-01-2020,202.5,197.5,201,199.8999939,2617277,197.0108337
15-01-2020,202.8500061,198,199,198.8999939,1026909,196.0252838
16-01-2020,205.3999939,195.6000061,199.6000061,201.4499969,2559538,198.5384216
17-01-2020,204,198.1999969,200.9499969,200.5500031,998065,197.6514435
20-01-2020,201.6000061,196,201.6000061,197.1000061,626884,194.2513123
21-01-2020,198.6999969,195.3999939,196.6999969,196.8500061,432500,194.0049133
22-01-2020,201.9499969,194,198.0500031,198.6000061,906632,196.4782104
23-01-2020,201.3000031,196.5,199.3500061,197.3500061,504823,195.2415619
24-01-2020,198,194.5,197.3500061,195.1999969,480976,193.1145172
27-01-2020,194.75,186.1000061,194.75,188.8500061,1049526,186.8323822
28-01-2020,188.8000031,185,188.75,185.75,644884,183.7654877
29-01-2020,188.75,183.6999969,185,184.5,605773,182.5288391
30-01-2020,184.8000031,174.3000031,184.5,177.1999969,1121132,175.306839
31-01-2020,184.6499939,174.3500061,175,179.9499969,1058384,178.0274506
03-02-2020,177.8999939,169.25,172.75,172.5500031,1062665,170.7065125
04-02-2020,175.3999939,173,173.0500031,174.1499939,609424,172.2894135
05-02-2020,177.5,172.3999939,173.1499939,173.3500061,521563,171.4979706
06-02-2020,176.75,172.75,174,173.6499939,813578,171.794754
07-02-2020,174.3999939,167.1000061,173.8999939,168.6000061,1061872,166.7987213
10-02-2020,169.4499969,164.3000031,169,165.9499969,693098,164.1770172
11-02-2020,175.0500031,165.6999969,167.1999969,171.1000061,2110082,169.2720184
12-02-2020,172,167.3999939,170.4499969,168.8000031,590258,166.996582
13-02-2020,169.6000061,164,169,165,631440,163.2371826
14-02-2020,165.6000061,160.25,165.6000061,161.25,620470,159.5272369
17-02-2020,161.1999969,154.3000031,161,156.0500031,765517,154.3827972
18-02-2020,156.3000031,146.5,156.1000061,149.8999939,1412806,148.2984924
19-02-2020,151.4499969,147.8000031,150.3999939,148.3999939,986785,146.8145142
20-02-2020,159.3000031,148.3999939,149,156.3000031,3076599,154.630127
24-02-2020,163,153.1000061,155.8999939,155.0500031,4746534,153.3934784
25-02-2020,159.1999969,152,156,153.6000061,1460744,151.9589844
26-02-2020,157.6000061,151.0500031,153,154.3999939,1333652,152.750412
27-02-2020,154.8000031,145,154,146,1996041,144.4401703
28-02-2020,143.5,129.1000061,143.5,134.4499969,3609979,133.0135651
02-03-2020,141.5500031,121.0999985,138.0500031,126.0999985,1034311,124.7527771
03-03-2020,133.5,122.5500031,128,132.0500031,1315871,130.6392059
04-03-2020,134,122.25,133,125.6999969,1690838,124.357048
05-03-2020,131.1000061,124.1999969,126.5,126.5,1426241,125.1485062
06-03-2020,121.9499969,114,114,119.1500015,1330863,117.8770294
09-03-2020,124.6999969,104.8000031,114,120.5999985,4275990,119.3115387
11-03-2020,124.25,112,121,114.4000015,1254618,113.1777802
12-03-2020,105,93.15000153,104.9000015,96.30000305,2850376,95.27115631
13-03-2020,97,77.05000305,85,91.5,2309784,90.52243805
16-03-2020,95.90000153,84.34999847,85,85.65000153,1816895,84.73493958
17-03-2020,90,77.09999847,85.05000305,77.94999695,2008121,77.11719513
18-03-2020,80.59999847,70.19999695,78.5,70.19999695,1263867,69.44999695
19-03-2020,67.80000305,62.54999924,63,62.79999924,2138731,62.79999924
20-03-2020,65.90000153,60.70000076,62.29999924,62.65000153,3532466,62.65000153
23-03-2020,62,59.54999924,59.54999924,59.54999924,299584,59.54999924
24-03-2020,61.90000153,56.59999847,60,56.59999847,310930,56.59999847
25-03-2020,56.04999924,53.79999924,53.79999924,53.84999847,1247708,53.84999847
26-03-2020,56.5,56.5,56.5,56.5,1444258,56.5
27-03-2020,59.29999924,59,59.29999924,59.29999924,1471865,59.29999924
30-03-2020,62.25,62.25,62.25,62.25,106421,62.25
31-03-2020,65.34999847,62.5,65.34999847,65.34999847,4281057,65.34999847
